selection1_name,selection1_url,,,,
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/2012-budget-speech-by-the-president/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/2012-budget-speech-by-the-president/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-water-resources/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-water-resources/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-government-of-nigeria-2012-budget-proposal-v3/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-government-of-nigeria-2012-budget-proposal-v3/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/summary-table-2012-budget-proposal-v2/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/summary-table-2012-budget-proposal-v2/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/statutory-debt-service/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/statutory-debt-service/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/presidency/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/presidency/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/office-of-the-secretary-to-the-government-of-the-federation/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/office-of-the-secretary-to-the-government-of-the-federation/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/office-of-the-national-security-adviser/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/office-of-the-national-security-adviser/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/office-of-the-head-of-civil-service-of-the-federation/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/office-of-the-head-of-civil-service-of-the-federation/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/national-salaries-income-and-wages-commission/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/national-salaries-income-and-wages-commission/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/national-planning-commission/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/national-planning-commission/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/independent-corrupt-practices-and-other-related-offences-commission/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/independent-corrupt-practices-and-other-related-offences-commission/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/fiscal-responsibility-commission/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/fiscal-responsibility-commission/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-works/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-works/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-transport/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-transport/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-trade-and-investment/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-trade-and-investment/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-sports/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-sports/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-science-tech/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-science-tech/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-science-tech/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-science-tech/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-power/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-power/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-petroleum/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-petroleum/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-niger-delta/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-niger-delta/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-mines-steel/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-mines-steel/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-labour/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-labour/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-justice/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-justice/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-interior/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-interior/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-information/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-information/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-health/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-health/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-foreign-affairs/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-foreign-affairs/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-finance/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-finance/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-education/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-education/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-culture/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-culture/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-commnication-technology/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-commnication-technology/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-aviation/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-aviation/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-youth-sport/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-youth-sport/download"","
Download,https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-special-duties/download,",","""",,"""https://www.budgetoffice.gov.ng/index.php/2012-budget/federal-ministry-of-special-duties/download"","
