Year,costCenter_Code,costCenter_Code_MDA,table_identifier,table_identifier_MDA,total_allocation
2018,0111,PRESIDENCY,0111001001,STATE HOUSE - HQTRS,11545784995
2018,0111,PRESIDENCY,0111001002,STATE HOUSE OPERATIONS - PRESIDENT,1335460938
2018,0111,PRESIDENCY,0111001003,STATE HOUSE OPERATIONS - VICE PRESIDENT,482583094
2018,0111,PRESIDENCY,0111001004,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,30534298
2018,0111,PRESIDENCY,0111001005,OFFICE OF THE CHIEF SECURITY OFFICER TO THE PRESIDENT,777427448
2018,0111,PRESIDENCY,0111001006,STATE HOUSE MEDICAL CENTRE,1030458453
2018,0111,PRESIDENCY,0111001007,STATE HOUSE LAGOS LIAISON OFFICE,276929552
2018,0111,PRESIDENCY,0111005001,OFFICE OF THE SENIOR SPECIAL ASSISTANT TO THE PRESIDENT - MDGS (OSSAP-MDGS),194510324
2018,0111,PRESIDENCY,0111006001,"NIPSS, KURU",1662449169
2018,0111,PRESIDENCY,0111007001,BUREAU OF PUBLIC ENTERPRISES (BPE),2057089932
2018,0111,PRESIDENCY,0111008001,NATIONAL EMERGENCY MANAGEMENT AGENCY (NEMA),1520903575
2018,0111,PRESIDENCY,0111009001,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),21690032830
2018,0111,PRESIDENCY,0111009002,NIGERIAN FINANCIAL INTELLIGENCE UNIT (NFIU),800100000
2018,0111,PRESIDENCY,0111010001,BUREAU OF PUBLIC PROCUREMENT (BPP),1743736261
2018,0111,PRESIDENCY,0111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),1420094160
2018,0111,PRESIDENCY,0111048001,NIGERIA ATOMIC ENERGY COMMISSION & ITS CENTRES,4770719333
2018,0111,PRESIDENCY,0111051001,OFFICE OF THE CHIEF ECONOMIC ADVISER TO THE PRESIDENT,106864446
2018,0112,NATIONAL ASSEMBLY,0112001001,NASS MANAGEMENT,125000000000
2018,0116,MINISTRY OF DEFENCE,0116001001,MINISTRY OF DEFENCE - MOD HQTRS,28115531911
2018,0116,MINISTRY OF DEFENCE,0116002001,DEFENCE HEADQURTERS,5185618660
2018,0116,MINISTRY OF DEFENCE,0116003001,NIGERIAN ARMY,233053578978
2018,0116,MINISTRY OF DEFENCE,0116003002,"NIGERIAN ARMY INSTITUTE OF TECHNOLOGY AND ENVIRONMENTAL STUDIES (NAITES) BIU, BORNO",350000000
2018,0116,MINISTRY OF DEFENCE,0116004001,NIGERIAN NAVY,95128068662
2018,0116,MINISTRY OF DEFENCE,0116005001,NIGERIAN AIRFORCE,107484417464
2018,0116,MINISTRY OF DEFENCE,0116006001,NIGERIAN DEFENCE ACADEMY (NDA),18961205962
2018,0116,MINISTRY OF DEFENCE,0116007001,NIGERIAN DEFENCE COLLEGE,15399467532
2018,0116,MINISTRY OF DEFENCE,0116008001,"COMMAND AND STAFF COLLEGE, JAJI",7560402764
2018,0116,MINISTRY OF DEFENCE,0116009001,"NIGERIAN ARMED FORCES RESETTLEMENT CENTRE, LAGOS",5807488864
2018,0116,MINISTRY OF DEFENCE,0116010001,DEFENCE INDUSTRIES CORPORATION OF NIGERIA (DICON),4940805396
2018,0116,MINISTRY OF DEFENCE,0116011001,DEFENCE INTELLIGENCE SCHOOL,2382510741
